Battery,Car_name,Car_name_link,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
75.0,Tesla Model ,https://ev-d,172,670.0,59017.0,435,217,5.0
57.5,Tesla Model ,https://ev-d,137,700.0,46220.0,420,201,6.1
60.5,BYD ATTO 3,https://ev-d,183,370.0,44625.0,330,160,7.3
61.7,MG MG4 Elect,https://ev-d,171,630.0,39990.0,360,160,7.9
75.0,Tesla Model ,https://ev-d,149,780.0,55220.0,505,201,4.4
57.5,Tesla Model ,https://ev-d,164,580.0,47567.0,350,217,6.9
71.0,BMW iX xDriv,https://ev-d,197,480.0,77300.0,360,200,6.1
64.0,Volvo EX30 S,https://ev-d,173,550.0,41790.0,370,180,5.3
44.0,Citroen e-C3,https://ev-d,176,320.0,23300.0,250,135,11.0
82.5,BYD SEAL 82.,https://ev-d,170,530.0,53668.0,485,180,3.8
80.7,BMW i4 eDriv,https://ev-d,157,800.0,59200.0,515,190,5.7
60.0,Renault Mega,https://ev-d,158,530.0,46600.0,380,160,7.4
64.7,BMW iX1 xDri,https://ev-d,170,550.0,55000.0,380,180,5.6
64.0,Hyundai Kona,https://ev-d,164,370.0,42900.0,390,167,7.9
75.0,Tesla Model ,https://ev-d,181,640.0,63667.0,415,250,3.7
64.8,Kia Niro EV,https://ev-d,168,390.0,45690.0,385,167,7.8
100.0,Rolls-Royce ,https://ev-d,220,540.0,0.0,455,250,4.5
95.0,Tesla Model ,https://ev-d,170,780.0,110970.0,560,282,2.1
74.0,BMW iX3,https://ev-d,192,520.0,67300.0,385,180,6.8
90.0,Hongqi E-HS9,https://ev-d,243,430.0,0.0,370,200,4.9
37.3,Fiat 500e Ha,https://ev-d,159,390.0,34990.0,235,150,9.0
85.4,BYD HAN,https://ev-d,180,450.0,70805.0,475,180,3.9
95.0,Tesla Model ,https://ev-d,165,800.0,95970.0,575,250,3.2
60.5,BYD DOLPHIN ,https://ev-d,178,340.0,35990.0,340,160,7.0
58.0,CUPRA Born 1,https://ev-d,166,470.0,39370.0,350,160,7.3
25.0,Dacia Spring,https://ev-d,152,180.0,22550.0,165,125,19.1
81.2,BMW i5 eDriv,https://ev-d,171,710.0,70200.0,475,193,6.0
80.7,BMW i4 M50,https://ev-d,179,700.0,70800.0,450,225,3.9
50.8,Opel Astra E,https://ev-d,167,490.0,41990.0,305,170,9.2
68.3,MG ZS EV Lon,https://ev-d,185,420.0,37990.0,370,175,8.4
76.6,Audi Q4 e-tr,https://ev-d,189,630.0,0.0,405,160,8.5
101.7,BMW i7 xDriv,https://ev-d,199,760.0,139900.0,510,240,4.7
64.0,Toyota bZ4X ,https://ev-d,188,510.0,47490.0,340,160,7.5
49.0,Volvo EX30 S,https://ev-d,175,430.0,36590.0,280,180,5.7
62.0,Smart #1,https://ev-d,185,520.0,42490.0,335,180,6.7
74.0,Kia EV6 Long,https://ev-d,180,1070.0,51990.0,410,185,7.3
77.0,Volkswagen I,https://ev-d,162,710.0,56995.0,475,180,6.5
105.2,BMW iX xDriv,https://ev-d,208,680.0,100100.0,505,200,4.6
106.0,Audi Q8 e-tr,https://ev-d,210,640.0,85300.0,505,200,5.6
50.8,MG MG4 Elect,https://ev-d,169,390.0,34990.0,300,160,7.7
73.0,Peugeot e-30,https://ev-d,183,460.0,0.0,400,180,7.0
82.5,BYD SEAL 82.,https://ev-d,165,550.0,47578.0,500,180,5.9
77.0,Skoda Enyaq ,https://ev-d,169,680.0,48900.0,455,180,6.7
65.4,Hyundai Kona,https://ev-d,168,400.0,47190.0,390,170,8.8
58.0,Volkswagen I,https://ev-d,166,450.0,39995.0,350,160,7.3
52.0,Renault Zoe ,https://ev-d,165,230.0,36840.0,315,135,11.4
96.0,Kia EV9 99.8,https://ev-d,226,740.0,76490.0,425,200,6.0
46.3,Peugeot e-20,https://ev-d,162,460.0,39100.0,285,150,8.1
85.0,Audi e-tron ,https://ev-d,210,1000.0,146050.0,405,250,3.3
21.3,Renault Twin,https://ev-d,158,0.0,28000.0,135,135,12.6
77.0,CUPRA Born 1,https://ev-d,171,630.0,46450.0,450,160,7.0
86.4,BYD TANG,https://ev-d,240,330.0,71400.0,360,180,4.6
28.9,Mini Cooper ,https://ev-d,161,260.0,35700.0,180,150,7.3
67.0,BMW i4 eDriv,https://ev-d,156,580.0,56500.0,430,190,6.0
74.0,Hyundai IONI,https://ev-d,168,1150.0,61100.0,440,185,5.1
74.0,Kia EV6 GT,https://ev-d,206,940.0,72990.0,360,260,3.5
74.0,Hyundai IONI,https://ev-d,149,1290.0,54000.0,495,185,7.4
50.8,Jeep Avenger,https://ev-d,164,500.0,37000.0,310,150,9.0
87.0,Nissan Ariya,https://ev-d,193,540.0,58990.0,450,160,7.6
39.0,Nissan Leaf,https://ev-d,166,230.0,33400.0,235,144,7.9
77.0,Volkswagen I,https://ev-d,223,480.0,64581.0,345,145,10.2
70.5,Mercedes EQA,https://ev-d,168,580.0,0.0,420,160,8.6
77.0,Volkswagen I,https://ev-d,177,650.0,46335.0,435,180,6.7
46.3,Opel Corsa-e,https://ev-d,157,470.0,0.0,295,150,8.1
94.0,Zeekr 001 Pe,https://ev-d,186,700.0,63970.0,505,200,3.8
46.3,Citroen e-C4,https://ev-d,160,460.0,36040.0,290,150,9.7
94.0,Polestar 4 L,https://ev-d,202,690.0,0.0,465,200,3.8
118.0,Lucid Air Dr,https://ev-d,172,870.0,218000.0,685,270,2.9
74.4,MG MG4 Elect,https://ev-d,175,430.0,45990.0,425,180,6.5
98.0,Peugeot e-30,https://ev-d,188,680.0,0.0,520,180,7.0
80.0,Hyundai IONI,https://ev-d,208,950.0,0.0,385,260,3.4
